date,postcode,New Cases in Last 3 Days,New Cases in Last 7 Days,Total Cases
2020-01-22T11:00:00.000+11:00,2099,0,0,0
2020-01-22T11:00:00.000+11:00,2193,0,0,0
2020-01-22T11:00:00.000+11:00,2160,0,0,0
2020-01-22T11:00:00.000+11:00,2216,0,0,0
2020-01-22T11:00:00.000+11:00,2132,0,0,0
2020-01-22T11:00:00.000+11:00,2575,0,0,0
2020-01-22T11:00:00.000+11:00,2089,0,0,0
2020-01-22T11:00:00.000+11:00,2250,0,0,0
2020-01-22T11:00:00.000+11:00,2191,0,0,0
2020-01-22T11:00:00.000+11:00,2080,0,0,0
2020-01-22T11:00:00.000+11:00,2075,0,0,0
2020-01-22T11:00:00.000+11:00,2097,0,0,0
2020-01-22T11:00:00.000+11:00,2228,0,0,0
2020-01-22T11:00:00.000+11:00,2233,0,0,0
2020-01-22T11:00:00.000+11:00,2516,0,0,0
2020-01-22T11:00:00.000+11:00,2281,0,0,0
2020-01-22T11:00:00.000+11:00,2104,0,0,0
2020-01-22T11:00:00.000+11:00,2206,0,0,0
2020-01-22T11:00:00.000+11:00,2118,0,0,0
2020-01-22T11:00:00.000+11:00,2067,0,0,0
2020-01-22T11:00:00.000+11:00,2069,0,0,0
2020-01-22T11:00:00.000+11:00,2577,0,0,0
2020-01-22T11:00:00.000+11:00,2767,0,0,0
2020-01-22T11:00:00.000+11:00,2533,0,0,0
2020-01-22T11:00:00.000+11:00,2229,0,0,0
2020-01-22T11:00:00.000+11:00,2481,0,0,0
2020-01-22T11:00:00.000+11:00,2142,0,0,0
2020-01-22T11:00:00.000+11:00,2095,0,0,0
2020-01-22T11:00:00.000+11:00,2260,0,0,0
2020-01-22T11:00:00.000+11:00,2298,0,0,0
2020-01-22T11:00:00.000+11:00,2171,0,0,0
2020-01-22T11:00:00.000+11:00,2018,0,0,0
2020-01-22T11:00:00.000+11:00,2225,0,0,0
2020-01-22T11:00:00.000+11:00,2535,0,0,0
2020-01-22T11:00:00.000+11:00,2425,0,0,0
2020-01-22T11:00:00.000+11:00,2019,0,0,0
2020-01-22T11:00:00.000+11:00,2283,0,0,0
2020-01-22T11:00:00.000+11:00,2061,0,0,0
2020-01-22T11:00:00.000+11:00,2557,0,0,0
2020-01-22T11:00:00.000+11:00,2231,0,0,0
2020-01-22T11:00:00.000+11:00,2530,0,0,0
2020-01-22T11:00:00.000+11:00,2036,0,0,0
2020-01-22T11:00:00.000+11:00,2567,0,0,0
2020-01-22T11:00:00.000+11:00,2072,0,0,0
2020-01-22T11:00:00.000+11:00,2303,0,0,0
2020-01-22T11:00:00.000+11:00,2747,0,0,0
2020-01-22T11:00:00.000+11:00,2540,0,0,0
2020-01-22T11:00:00.000+11:00,2518,0,0,0
2020-01-22T11:00:00.000+11:00,2795,0,0,0
2020-01-22T11:00:00.000+11:00,2101,0,0,0
2020-01-22T11:00:00.000+11:00,2100,0,0,0
